Bootstraps,Score,Score_Choose_N,EvaluationMetric,EvaluationMetric_Cutoff,PoseSelection,PoseSelection_Choose_N,Reference_Split,N_Reference_Structures,Reference_Structure_Column,Randomize_by_N_Days,Date_Column,Scaffold_ID_Column,Min,Max,CI_Upper,CI_Lower,Total,Fraction,Evaluator_Model
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,1,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.004962779156327543,0.5483870967741935,0.5483870967741935,0.004962779156327543,403,0.05982630272952853,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":1,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,2,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.007444168734491315,0.5409429280397022,0.5409429280397022,0.007444168734491315,403,0.18382133995037223,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":2,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,5,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.017369727047146403,0.5086848635235732,0.5086848635235732,0.019851116625310174,403,0.27007444168734496,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":5,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,10,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.06451612903225806,0.511166253101737,0.5086848635235732,0.09429280397022333,403,0.42416873449131515,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":10,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,20,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.2630272952853598,0.5558312655086849,0.5558312655086849,0.2630272952853598,403,0.4953598014888337,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":20,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,30,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.7245657568238213,0.7245657568238213,0.7245657568238213,0.7245657568238213,403,0.7245657568238214,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":30,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,40,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.7419354838709677,0.794044665012407,0.7915632754342432,0.749379652605459,403,0.7713399503722086,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":40,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,50,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.7915632754342432,0.8337468982630273,0.8287841191066998,0.8014888337468983,403,0.8160297766749377,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":50,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,75,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.8362282878411911,0.8684863523573201,0.8660049627791563,0.8387096774193549,403,0.8548635235732008,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":75,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,100,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.8511166253101737,0.8808933002481389,0.8784119106699751,0.8610421836228288,403,0.869602977667494,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":100,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,POSIT_Probability,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,137,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.9181141439205955,0.9181141439205955,0.9181141439205955,0.9181141439205955,403,0.9181141439205953,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":137,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""POSITScorer"",""name"":""POSIT_Probability"",""category"":""Score"",""variable"":""PoseData_docking-confidence-POSIT"",""ascending"":false,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,1,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.004962779156327543,0.5483870967741935,0.5483870967741935,0.004962779156327543,403,0.05419354838709677,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":1,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,2,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.009925558312655087,0.5707196029776674,0.5707196029776674,0.009925558312655087,403,0.15243176178660053,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":2,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,5,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.034739454094292806,0.6054590570719603,0.6029776674937966,0.034739454094292806,403,0.3569975186104219,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":5,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,10,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.12655086848635236,0.7047146401985112,0.7022332506203474,0.3870967741935484,403,0.6339205955334988,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":10,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,20,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.6253101736972705,0.8238213399503722,0.8238213399503722,0.794044665012407,403,0.8153846153846152,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":20,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,30,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.9429280397022333,0.9429280397022333,0.9429280397022333,0.9429280397022333,403,0.9429280397022332,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":30,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,40,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.9354838709677419,0.9553349875930521,0.9553349875930521,0.9354838709677419,403,0.9476923076923076,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":40,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,50,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.9503722084367245,0.9578163771712159,0.9578163771712159,0.9528535980148883,403,0.9561538461538461,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":50,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,75,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.9751861042183623,0.9801488833746899,0.9801488833746899,0.9751861042183623,403,0.9787344913151368,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":75,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,100,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.9826302729528535,0.9851116625310173,0.9851116625310173,0.9826302729528535,403,0.9848883374689822,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":100,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
100,RMSD,1,PoseData_RMSD,2.0,Default,1,ScaffoldDateSplit,137,Reference_Structure,1,RefData_Date,RefData_Scaffold_ID,0.9950372208436724,0.9950372208436724,0.9950372208436724,0.9950372208436724,403,0.9950372208436723,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""ScaffoldDateSplit"",""name"":""ScaffoldDateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":137,""date_column"":""RefData_Date"",""scaffold_id_column"":""RefData_Scaffold_ID"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":100,""dataset_before_similarity"":true}"
